transaction_id,transaction_date,employee_id,employee_name,email,department,category,merchant,amount_usd,currency,policy_limit_usd,policy_violation,notes
TXN-02686,2024-01-01,EMP-4611,Aaron Neal,aaron.neal@brex-demo.com,Sales,Travel & Lodging,United Airlines,3604.46,USD,3000,True,Site call have coach mother.
TXN-02831,2024-01-01,EMP-7224,Jaclyn Howard,jaclyn.howard@brex-demo.com,Finance,Meals & Entertainment,Conference Catering Co.,176.64,USD,150,True,
TXN-02904,2024-01-01,EMP-5012,Frances Pierce,frances.pierce@brex-demo.com,Engineering,Travel & Lodging,United Airlines,1323.11,USD,3000,False,
TXN-02919,2024-01-01,EMP-8527,Kendra Whitaker,kendra.whitaker@brex-demo.com,Finance,Professional Services,Freelancer Invoice,4004.34,USD,5000,False,
TXN-02947,2024-01-01,EMP-1106,Leah Webb,leah.webb@brex-demo.com,Sales,Travel & Lodging,Delta Airlines,2850.84,USD,3000,False,
TXN-03055,2024-01-01,EMP-7924,Adam Shea,adam.shea@brex-demo.com,Sales,Software & SaaS,Figma,543.31,USD,1000,False,Wrong choose almost central of may again return.
TXN-03293,2024-01-01,EMP-5012,Frances Pierce,frances.pierce@brex-demo.com,Engineering,Office Supplies,Uline,196.46,USD,200,False,Policy total off anyone entire another be.
TXN-03326,2024-01-01,EMP-3615,Antonio Li,antonio.li@brex-demo.com,Sales,Advertising,AdRoll,4655.86,USD,10000,False,
TXN-03353,2024-01-01,EMP-1434,Jennifer Davis,jennifer.davis@brex-demo.com,Marketing,Travel & Lodging,Lyft,1407.86,USD,3000,False,
TXN-03395,2024-01-01,EMP-5012,Frances Pierce,frances.pierce@brex-demo.com,Engineering,Office Supplies,Staples,70.24,USD,200,False,
TXN-03516,2024-01-01,EMP-2535,Timothy Humphrey,timothy.humphrey@brex-demo.com,Marketing,Advertising,AdRoll,8271.18,USD,10000,False,
TXN-03750,2024-01-01,EMP-5552,Matthew Bennett,matthew.bennett@brex-demo.com,Sales,Advertising,Twitter/X Ads,14730.19,USD,10000,True,
TXN-03826,2024-01-01,EMP-5557,Bradley Mccullough,bradley.mccullough@brex-demo.com,Sales,Meals & Entertainment,Conference Catering Co.,345.03,USD,150,True,
TXN-03964,2024-01-01,EMP-4657,Andrea Mccann,andrea.mccann@brex-demo.com,Engineering,Professional Services,Accenture,5685.72,USD,5000,True,
TXN-04019,2024-01-01,EMP-2535,Timothy Humphrey,timothy.humphrey@brex-demo.com,Marketing,Advertising,AdRoll,2888.87,USD,10000,False,
TXN-04179,2024-01-01,EMP-5557,Bradley Mccullough,bradley.mccullough@brex-demo.com,Sales,Travel & Lodging,Enterprise Rent-A-Car,2864.37,USD,3000,False,
TXN-04360,2024-01-01,EMP-4611,Aaron Neal,aaron.neal@brex-demo.com,Sales,Travel & Lodging,Hilton,2668.65,USD,3000,False,
TXN-04805,2024-01-01,EMP-5012,Frances Pierce,frances.pierce@brex-demo.com,Engineering,Office Supplies,Grainger,103.62,USD,200,False,
TXN-00181,2024-01-02,EMP-2535,Timothy Humphrey,timothy.humphrey@brex-demo.com,Marketing,Advertising,Google Ads,4696.98,USD,10000,False,
TXN-00575,2024-01-02,EMP-3547,Crystal Allen,crystal.allen@brex-demo.com,Sales,Travel & Lodging,Airbnb,769.58,USD,3000,False,
TXN-00585,2024-01-02,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Hardware,Best Buy Business,2331.29,USD,2500,False,
TXN-00718,2024-01-02,EMP-4527,Nathaniel Carney,nathaniel.carney@brex-demo.com,Sales,Software & SaaS,Notion,362.8,USD,1000,False,
TXN-00771,2024-01-02,EMP-5333,Lisa Brown,lisa.brown@brex-demo.com,Finance,Office Supplies,Grainger,28.42,USD,200,False,Help hair instead since laugh ok low program.
TXN-00875,2024-01-02,EMP-2519,Cody Wilson,cody.wilson@brex-demo.com,Finance,Software & SaaS,GitHub,1232.3,USD,1000,True,Vote least answer painting technology task appear daughter involve.
TXN-01334,2024-01-02,EMP-5333,Lisa Brown,lisa.brown@brex-demo.com,Finance,Software & SaaS,Slack,903.09,USD,1000,False,
TXN-01448,2024-01-02,EMP-6635,Rachel Klein,rachel.klein@brex-demo.com,Finance,Hardware,CDW,1952.34,USD,2500,False,
TXN-01725,2024-01-02,EMP-2535,Timothy Humphrey,timothy.humphrey@brex-demo.com,Marketing,Advertising,LinkedIn Ads,12762.19,USD,10000,True,
TXN-02208,2024-01-02,EMP-6574,William Lindsey,william.lindsey@brex-demo.com,Sales,Meals & Entertainment,Grubhub,479.54,USD,150,True,
TXN-02457,2024-01-02,EMP-4582,Christopher Hall,christopher.hall@brex-demo.com,Marketing,Advertising,The Trade Desk,13240.63,USD,10000,True,
TXN-02577,2024-01-02,EMP-7924,Adam Shea,adam.shea@brex-demo.com,Sales,Travel & Lodging,Enterprise Rent-A-Car,364.87,USD,3000,False,Benefit bill surface brother member miss.
TXN-02640,2024-01-02,EMP-1434,Jennifer Davis,jennifer.davis@brex-demo.com,Marketing,Software & SaaS,Heroku,2445.09,USD,1000,True,
TXN-02654,2024-01-02,EMP-2674,Tina Johnson,tina.johnson@brex-demo.com,Finance,Meals & Entertainment,Chipotle,467.77,USD,150,True,
TXN-03118,2024-01-02,EMP-1520,Andrew Lopez,andrew.lopez@brex-demo.com,Marketing,Office Supplies,Staples,128.67,USD,200,False,Food organization store second ago market sort cold.
TXN-03189,2024-01-02,EMP-1434,Jennifer Davis,jennifer.davis@brex-demo.com,Marketing,Professional Services,Accenture,4838.74,USD,5000,False,
TXN-03224,2024-01-02,EMP-2674,Tina Johnson,tina.johnson@brex-demo.com,Finance,Software & SaaS,Slack,1491.55,USD,1000,True,
TXN-03289,2024-01-02,EMP-7924,Adam Shea,adam.shea@brex-demo.com,Sales,Professional Services,Local Law Firm LLP,5523.62,USD,5000,True,Note close court debate in plant pretty hour.
TXN-03319,2024-01-02,EMP-8527,Kendra Whitaker,kendra.whitaker@brex-demo.com,Finance,Meals & Entertainment,Starbucks,246.38,USD,150,True,
TXN-03672,2024-01-02,EMP-2824,Ryan Hines,ryan.hines@brex-demo.com,Engineering,Software & SaaS,Zoom,1574.55,USD,1000,True,
TXN-03897,2024-01-02,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Professional Services,McKinsey & Co,2146.04,USD,5000,False,
TXN-04154,2024-01-02,EMP-7924,Adam Shea,adam.shea@brex-demo.com,Sales,Professional Services,Freelancer Invoice,7259.99,USD,5000,True,
TXN-04176,2024-01-02,EMP-3547,Crystal Allen,crystal.allen@brex-demo.com,Sales,Travel & Lodging,Enterprise Rent-A-Car,2859.23,USD,3000,False,Page professional ready news draw success.
TXN-04469,2024-01-02,EMP-6635,Rachel Klein,rachel.klein@brex-demo.com,Finance,Office Supplies,Uline,224.34,USD,200,True,
TXN-04592,2024-01-02,EMP-6514,Carlos Hanson,carlos.hanson@brex-demo.com,Finance,Software & SaaS,Notion,914.48,USD,1000,False,
TXN-04612,2024-01-02,EMP-6574,William Lindsey,william.lindsey@brex-demo.com,Sales,Travel & Lodging,AmericanAirlines,1469.76,USD,3000,False,
TXN-00010,2024-01-03,EMP-8527,Kendra Whitaker,kendra.whitaker@brex-demo.com,Finance,Hardware,Best Buy Business,1610.89,USD,2500,False,
TXN-00034,2024-01-03,EMP-5552,Matthew Bennett,matthew.bennett@brex-demo.com,Sales,Travel & Lodging,United Airlines,3044.68,USD,3000,True,
TXN-00399,2024-01-03,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Office Supplies,Uline,158.24,USD,200,False,List anything discover production thus before medical also lead.
TXN-00502,2024-01-03,EMP-4811,Sharon Oliver,sharon.oliver@brex-demo.com,Marketing,Advertising,The Trade Desk,7942.58,USD,10000,False,
TXN-00580,2024-01-03,EMP-7873,David Baker,david.baker@brex-demo.com,Marketing,Advertising,The Trade Desk,14951.15,USD,10000,True,Plant charge president road would exactly energy water.
TXN-00783,2024-01-03,EMP-6635,Rachel Klein,rachel.klein@brex-demo.com,Finance,Software & SaaS,Figma,892.99,USD,1000,False,
TXN-01257,2024-01-03,EMP-7912,Amber David,amber.david@brex-demo.com,Engineering,Software & SaaS,Datadog,1227.92,USD,1000,True,Give learn others still threat not.
TXN-01434,2024-01-03,EMP-1434,Jennifer Davis,jennifer.davis@brex-demo.com,Marketing,Meals & Entertainment,Local Bistro,350.14,USD,150,True,
TXN-01550,2024-01-03,EMP-5557,Bradley Mccullough,bradley.mccullough@brex-demo.com,Sales,Meals & Entertainment,Starbucks,364.86,USD,150,True,
TXN-01878,2024-01-03,EMP-4582,Christopher Hall,christopher.hall@brex-demo.com,Marketing,Office Supplies,Amazon Business,203.31,USD,200,True,
TXN-02106,2024-01-03,EMP-5012,Frances Pierce,frances.pierce@brex-demo.com,Engineering,Software & SaaS,Slack,771.15,USD,1000,False,
TXN-02156,2024-01-03,EMP-5557,Bradley Mccullough,bradley.mccullough@brex-demo.com,Sales,Travel & Lodging,Hilton,3738.78,USD,3000,True,
TXN-02336,2024-01-03,EMP-1711,Travis Jackson,travis.jackson@brex-demo.com,Finance,Professional Services,Deloitte Consulting,4314.67,USD,5000,False,
TXN-03111,2024-01-03,EMP-5552,Matthew Bennett,matthew.bennett@brex-demo.com,Sales,Advertising,LinkedIn Ads,5265.52,USD,10000,False,
TXN-03148,2024-01-03,EMP-4611,Aaron Neal,aaron.neal@brex-demo.com,Sales,Meals & Entertainment,Grubhub,221.16,USD,150,True,
TXN-03227,2024-01-03,EMP-2519,Cody Wilson,cody.wilson@brex-demo.com,Finance,Meals & Entertainment,Chipotle,118.57,USD,150,False,Short not help as road peace so up however.
TXN-03308,2024-01-03,EMP-7873,David Baker,david.baker@brex-demo.com,Marketing,Software & SaaS,Slack,2477.87,USD,1000,True,Reveal dinner pick door begin arm should foreign Congress.
TXN-03564,2024-01-03,EMP-7873,David Baker,david.baker@brex-demo.com,Marketing,Professional Services,McKinsey & Co,4811.89,USD,5000,False,Wide picture look fall current speak recognize.
TXN-03714,2024-01-03,EMP-2424,Caroline Edwards,caroline.edwards@brex-demo.com,Engineering,Hardware,Dell Technologies,2775.38,USD,2500,True,
TXN-03759,2024-01-03,EMP-6635,Rachel Klein,rachel.klein@brex-demo.com,Finance,Office Supplies,Grainger,250.09,USD,200,True,
TXN-03831,2024-01-03,EMP-6514,Carlos Hanson,carlos.hanson@brex-demo.com,Finance,Travel & Lodging,Airbnb,3149.58,USD,3000,True,
TXN-03886,2024-01-03,EMP-3286,Andrew Hall,andrew.hall@brex-demo.com,Engineering,Travel & Lodging,Hilton,3137.53,USD,3000,True,
TXN-03899,2024-01-03,EMP-2674,Tina Johnson,tina.johnson@brex-demo.com,Finance,Hardware,B&H Photo,1278.76,USD,2500,False,
TXN-04153,2024-01-03,EMP-1106,Leah Webb,leah.webb@brex-demo.com,Sales,Travel & Lodging,AmericanAirlines,3853.11,USD,3000,True,Worker wife particularly beautiful discover two office television fall behavior.
TXN-04163,2024-01-03,EMP-8527,Kendra Whitaker,kendra.whitaker@brex-demo.com,Finance,Meals & Entertainment,Local Bistro,158.6,USD,150,True,Back attack forget should hotel arm small.
TXN-04364,2024-01-03,EMP-8527,Kendra Whitaker,kendra.whitaker@brex-demo.com,Finance,Meals & Entertainment,Starbucks,284.38,USD,150,True,Ask determine finish sure tell federal difficult.
TXN-04550,2024-01-03,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Hardware,B&H Photo,889.31,USD,2500,False,
TXN-04636,2024-01-03,EMP-2824,Ryan Hines,ryan.hines@brex-demo.com,Engineering,Software & SaaS,AWS Marketplace,2482.76,USD,1000,True,
TXN-04853,2024-01-03,EMP-1711,Travis Jackson,travis.jackson@brex-demo.com,Finance,Professional Services,Accenture,4220.25,USD,5000,False,Board conference control unit lot must act.
TXN-00094,2024-01-04,EMP-5012,Frances Pierce,frances.pierce@brex-demo.com,Engineering,Software & SaaS,Notion,920.74,USD,1000,False,
TXN-00487,2024-01-04,EMP-1711,Travis Jackson,travis.jackson@brex-demo.com,Finance,Meals & Entertainment,Conference Catering Co.,146.79,USD,150,False,
TXN-00735,2024-01-04,EMP-5012,Frances Pierce,frances.pierce@brex-demo.com,Engineering,Hardware,B&H Photo,2783.85,USD,2500,True,
TXN-00769,2024-01-04,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Hardware,B&H Photo,60.42,USD,2500,False,
TXN-00800,2024-01-04,EMP-2674,Tina Johnson,tina.johnson@brex-demo.com,Finance,Travel & Lodging,United Airlines,756.36,USD,3000,False,
TXN-00842,2024-01-04,EMP-5333,Lisa Brown,lisa.brown@brex-demo.com,Finance,Travel & Lodging,Lyft,2192.2,USD,3000,False,White number place surface production language very.
TXN-00891,2024-01-04,EMP-7224,Jaclyn Howard,jaclyn.howard@brex-demo.com,Finance,Office Supplies,Amazon Business,251.91,USD,200,True,
TXN-00941,2024-01-04,EMP-8359,Rhonda Gutierrez,rhonda.gutierrez@brex-demo.com,Sales,Meals & Entertainment,Grubhub,183.6,USD,150,True,Near they adult lead military administration firm knowledge.
TXN-01056,2024-01-04,EMP-6574,William Lindsey,william.lindsey@brex-demo.com,Sales,Advertising,Meta Ads,1770.71,USD,10000,False,Not young image front general laugh apply sort bank or.
TXN-01215,2024-01-04,EMP-1106,Leah Webb,leah.webb@brex-demo.com,Sales,Travel & Lodging,Delta Airlines,211.75,USD,3000,False,
TXN-01247,2024-01-04,EMP-4811,Sharon Oliver,sharon.oliver@brex-demo.com,Marketing,Travel & Lodging,Marriott,2376.62,USD,3000,False,Production raise soldier occur expect tax.
TXN-01415,2024-01-04,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Office Supplies,Staples,298.35,USD,200,True,Place skin phone feeling common board local.
TXN-01450,2024-01-04,EMP-7224,Jaclyn Howard,jaclyn.howard@brex-demo.com,Finance,Software & SaaS,GitHub,2275.28,USD,1000,True,Never nature interesting population one poor.
TXN-01524,2024-01-04,EMP-4811,Sharon Oliver,sharon.oliver@brex-demo.com,Marketing,Advertising,LinkedIn Ads,1436.94,USD,10000,False,
TXN-01655,2024-01-04,EMP-7924,Adam Shea,adam.shea@brex-demo.com,Sales,Meals & Entertainment,OpenTable Restaurant,281.84,USD,150,True,National certain six him serve same attorney whole recently break.
TXN-01671,2024-01-04,EMP-1409,Christopher Henry,christopher.henry@brex-demo.com,Engineering,Travel & Lodging,Marriott,448.39,USD,3000,False,Campaign reality consider level class performance safe available actually.
TXN-01860,2024-01-04,EMP-2679,Mark Daniel,mark.daniel@brex-demo.com,Engineering,Office Supplies,Office Depot,239.29,USD,200,True,Ability else both measure bed over stuff.
TXN-02010,2024-01-04,EMP-7912,Amber David,amber.david@brex-demo.com,Engineering,Hardware,CDW,1318.78,USD,2500,False,
TXN-02222,2024-01-04,EMP-1711,Travis Jackson,travis.jackson@brex-demo.com,Finance,Professional Services,Accenture,1623.58,USD,5000,False,
TXN-02372,2024-01-04,EMP-6574,William Lindsey,william.lindsey@brex-demo.com,Sales,Meals & Entertainment,OpenTable Restaurant,462.65,USD,150,True,
TXN-02533,2024-01-04,EMP-4527,Nathaniel Carney,nathaniel.carney@brex-demo.com,Sales,Meals & Entertainment,Conference Catering Co.,67.6,USD,150,False,Free note draw mouth relate method budget serious.
TXN-02590,2024-01-04,EMP-6514,Carlos Hanson,carlos.hanson@brex-demo.com,Finance,Software & SaaS,Heroku,2263.86,USD,1000,True,Take subject recent base certainly identify future.
TXN-02592,2024-01-04,EMP-7873,David Baker,david.baker@brex-demo.com,Marketing,Advertising,Twitter/X Ads,14155.64,USD,10000,True,
TXN-02721,2024-01-04,EMP-1520,Andrew Lopez,andrew.lopez@brex-demo.com,Marketing,Advertising,The Trade Desk,11167.93,USD,10000,True,Pretty couple how source cold tell seven floor energy.
TXN-02753,2024-01-04,EMP-2584,Mark Jacobs,mark.jacobs@brex-demo.com,Finance,Professional Services,Accenture,1658.36,USD,5000,False,
TXN-02869,2024-01-04,EMP-4657,Andrea Mccann,andrea.mccann@brex-demo.com,Engineering,Meals & Entertainment,Chipotle,265.06,USD,150,True,From travel bank skill politics ready trial lead.
TXN-02931,2024-01-04,EMP-1520,Andrew Lopez,andrew.lopez@brex-demo.com,Marketing,Travel & Lodging,Uber,3846.51,USD,3000,True,Plant name window upon.
TXN-02985,2024-01-04,EMP-3547,Crystal Allen,crystal.allen@brex-demo.com,Sales,Meals & Entertainment,Conference Catering Co.,22.09,USD,150,False,
TXN-03026,2024-01-04,EMP-2674,Tina Johnson,tina.johnson@brex-demo.com,Finance,Professional Services,Local Law Firm LLP,1917.12,USD,5000,False,Blood everyone player even certain movement themselves.
TXN-03037,2024-01-04,EMP-5557,Bradley Mccullough,bradley.mccullough@brex-demo.com,Sales,Travel & Lodging,Lyft,705.27,USD,3000,False,Born week national use situation rock mission action.
TXN-03217,2024-01-04,EMP-7873,David Baker,david.baker@brex-demo.com,Marketing,Advertising,The Trade Desk,13271.77,USD,10000,True,Present sport analysis green carry.
TXN-03335,2024-01-04,EMP-6514,Carlos Hanson,carlos.hanson@brex-demo.com,Finance,Software & SaaS,Figma,56.94,USD,1000,False,
TXN-03528,2024-01-04,EMP-1488,Courtney Thomas,courtney.thomas@brex-demo.com,Marketing,Meals & Entertainment,OpenTable Restaurant,140.48,USD,150,False,
TXN-03742,2024-01-04,EMP-7224,Jaclyn Howard,jaclyn.howard@brex-demo.com,Finance,Meals & Entertainment,OpenTable Restaurant,359.83,USD,150,True,Share if former development government newspaper.
TXN-03774,2024-01-04,EMP-2424,Caroline Edwards,caroline.edwards@brex-demo.com,Engineering,Software & SaaS,GitHub,444.49,USD,1000,False,
TXN-03895,2024-01-04,EMP-2535,Timothy Humphrey,timothy.humphrey@brex-demo.com,Marketing,Advertising,LinkedIn Ads,6791.25,USD,10000,False,Point fight explain far card increase black.
TXN-04313,2024-01-04,EMP-3615,Antonio Li,antonio.li@brex-demo.com,Sales,Meals & Entertainment,Conference Catering Co.,207.51,USD,150,True,Effect commercial which administration choose popular physical approach movement.
TXN-04782,2024-01-04,EMP-3615,Antonio Li,antonio.li@brex-demo.com,Sales,Meals & Entertainment,Conference Catering Co.,465.54,USD,150,True,Contain behind onto ever they concern.
TXN-04975,2024-01-04,EMP-6881,Matthew Allen,matthew.allen@brex-demo.com,Finance,Software & SaaS,Snowflake,673.83,USD,1000,False,
TXN-00183,2024-01-05,EMP-8359,Rhonda Gutierrez,rhonda.gutierrez@brex-demo.com,Sales,Meals & Entertainment,Local Bistro,374.12,USD,150,True,
TXN-00306,2024-01-05,EMP-1488,Courtney Thomas,courtney.thomas@brex-demo.com,Marketing,Software & SaaS,Jira Cloud,1660.35,USD,1000,True,Trip rise information whose though within.
TXN-00394,2024-01-05,EMP-2824,Ryan Hines,ryan.hines@brex-demo.com,Engineering,Software & SaaS,AWS Marketplace,1965.99,USD,1000,True,Attorney debate realize culture wonder yet.
TXN-00525,2024-01-05,EMP-2535,Timothy Humphrey,timothy.humphrey@brex-demo.com,Marketing,Hardware,CDW,2758.71,USD,2500,True,Everyone could case game space treat east laugh.
TXN-00944,2024-01-05,EMP-2679,Mark Daniel,mark.daniel@brex-demo.com,Engineering,Meals & Entertainment,Grubhub,49.28,USD,150,False,
TXN-01264,2024-01-05,EMP-1520,Andrew Lopez,andrew.lopez@brex-demo.com,Marketing,Hardware,B&H Photo,2874.76,USD,2500,True,
TXN-01482,2024-01-05,EMP-4527,Nathaniel Carney,nathaniel.carney@brex-demo.com,Sales,Travel & Lodging,Airbnb,2369.19,USD,3000,False,
TXN-01589,2024-01-05,EMP-2824,Ryan Hines,ryan.hines@brex-demo.com,Engineering,Software & SaaS,AWS Marketplace,1535.69,USD,1000,True,
TXN-01603,2024-01-05,EMP-1520,Andrew Lopez,andrew.lopez@brex-demo.com,Marketing,Hardware,B&H Photo,2976.31,USD,2500,True,
TXN-01742,2024-01-05,EMP-2424,Caroline Edwards,caroline.edwards@brex-demo.com,Engineering,Software & SaaS,Slack,753.6,USD,1000,False,
TXN-01899,2024-01-05,EMP-6881,Matthew Allen,matthew.allen@brex-demo.com,Finance,Professional Services,McKinsey & Co,7684.64,USD,5000,True,Reduce few themselves local summer.
TXN-02266,2024-01-05,EMP-5557,Bradley Mccullough,bradley.mccullough@brex-demo.com,Sales,Meals & Entertainment,Grubhub,225.81,USD,150,True,
TXN-02522,2024-01-05,EMP-2424,Caroline Edwards,caroline.edwards@brex-demo.com,Engineering,Software & SaaS,AWS Marketplace,370.55,USD,1000,False,Senior vote arrive chance author positive.
TXN-02621,2024-01-05,EMP-2824,Ryan Hines,ryan.hines@brex-demo.com,Engineering,Software & SaaS,GitHub,463.23,USD,1000,False,Science leave law him message compare ability fill threat enough.
TXN-02784,2024-01-05,EMP-2535,Timothy Humphrey,timothy.humphrey@brex-demo.com,Marketing,Travel & Lodging,AmericanAirlines,771.34,USD,3000,False,
TXN-02851,2024-01-05,EMP-5552,Matthew Bennett,matthew.bennett@brex-demo.com,Sales,Software & SaaS,Jira Cloud,2431.32,USD,1000,True,Anything enough national black society rest focus during issue.
TXN-02926,2024-01-05,EMP-6514,Carlos Hanson,carlos.hanson@brex-demo.com,Finance,Meals & Entertainment,DoorDash,153.46,USD,150,True,
TXN-02935,2024-01-05,EMP-6574,William Lindsey,william.lindsey@brex-demo.com,Sales,Meals & Entertainment,Conference Catering Co.,37.27,USD,150,False,
TXN-03139,2024-01-05,EMP-7912,Amber David,amber.david@brex-demo.com,Engineering,Meals & Entertainment,Local Bistro,122.82,USD,150,False,Girl our understand assume suggest hard because.
TXN-03431,2024-01-05,EMP-4582,Christopher Hall,christopher.hall@brex-demo.com,Marketing,Advertising,Twitter/X Ads,13726.17,USD,10000,True,
TXN-03963,2024-01-05,EMP-6574,William Lindsey,william.lindsey@brex-demo.com,Sales,Travel & Lodging,Uber,2461.54,USD,3000,False,
TXN-04002,2024-01-05,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Hardware,CDW,2845.79,USD,2500,True,
TXN-04164,2024-01-05,EMP-9928,Paul Cooke,paul.cooke@brex-demo.com,Marketing,Advertising,Google Ads,596.12,USD,10000,False,
TXN-04288,2024-01-05,EMP-1434,Jennifer Davis,jennifer.davis@brex-demo.com,Marketing,Hardware,CDW,258.88,USD,2500,False,Read seven your media well poor.
TXN-04339,2024-01-05,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Hardware,Dell Technologies,1752.53,USD,2500,False,
TXN-04365,2024-01-05,EMP-4657,Andrea Mccann,andrea.mccann@brex-demo.com,Engineering,Travel & Lodging,United Airlines,3653.04,USD,3000,True,
TXN-04369,2024-01-05,EMP-4811,Sharon Oliver,sharon.oliver@brex-demo.com,Marketing,Software & SaaS,Zoom,915.26,USD,1000,False,
TXN-04751,2024-01-05,EMP-1488,Courtney Thomas,courtney.thomas@brex-demo.com,Marketing,Advertising,Twitter/X Ads,5886.27,USD,10000,False,
TXN-00299,2024-01-06,EMP-5333,Lisa Brown,lisa.brown@brex-demo.com,Finance,Office Supplies,Amazon Business,169.85,USD,200,False,
TXN-00456,2024-01-06,EMP-6514,Carlos Hanson,carlos.hanson@brex-demo.com,Finance,Software & SaaS,Figma,603.81,USD,1000,False,
TXN-00742,2024-01-06,EMP-5506,Laura Ross,laura.ross@brex-demo.com,Engineering,Software & SaaS,Heroku,2417.94,USD,1000,True,Purpose through behavior person happen dog.
TXN-00798,2024-01-06,EMP-1409,Christopher Henry,christopher.henry@brex-demo.com,Engineering,Meals & Entertainment,Starbucks,333.58,USD,150,True,
TXN-01002,2024-01-06,EMP-9279,Amber Williams,amber.williams@brex-demo.com,Marketing,Advertising,LinkedIn Ads,5832.22,USD,10000,False,
TXN-01138,2024-01-06,EMP-9928,Paul Cooke,paul.cooke@brex-demo.com,Marketing,Advertising,The Trade Desk,4477.76,USD,10000,False,
TXN-01225,2024-01-06,EMP-9928,Paul Cooke,paul.cooke@brex-demo.com,Marketing,Advertising,Meta Ads,14831.52,USD,10000,True,
TXN-01429,2024-01-06,EMP-6574,William Lindsey,william.lindsey@brex-demo.com,Sales,Professional Services,Accenture,1904.01,USD,5000,False,
TXN-01575,2024-01-06,EMP-2584,Mark Jacobs,mark.jacobs@brex-demo.com,Finance,Professional Services,Accenture,7042.49,USD,5000,True,
TXN-01717,2024-01-06,EMP-9279,Amber Williams,amber.williams@brex-demo.com,Marketing,Meals & Entertainment,Grubhub,239.82,USD,150,True,
TXN-01770,2024-01-06,EMP-7873,David Baker,david.baker@brex-demo.com,Marketing,Advertising,LinkedIn Ads,10423.26,USD,10000,True,
TXN-01831,2024-01-06,EMP-7873,David Baker,david.baker@brex-demo.com,Marketing,Meals & Entertainment,Local Bistro,269.52,USD,150,True,
TXN-01924,2024-01-06,EMP-3286,Andrew Hall,andrew.hall@brex-demo.com,Engineering,Travel & Lodging,Airbnb,512.01,USD,3000,False,
TXN-01967,2024-01-06,EMP-1434,Jennifer Davis,jennifer.davis@brex-demo.com,Marketing,Hardware,B&H Photo,2651.72,USD,2500,True,
TXN-02284,2024-01-06,EMP-1520,Andrew Lopez,andrew.lopez@brex-demo.com,Marketing,Advertising,AdRoll,14720.22,USD,10000,True,
TXN-02325,2024-01-06,EMP-7924,Adam Shea,adam.shea@brex-demo.com,Sales,Meals & Entertainment,OpenTable Restaurant,103.23,USD,150,False,
TXN-02538,2024-01-06,EMP-2519,Cody Wilson,cody.wilson@brex-demo.com,Finance,Professional Services,Local Law Firm LLP,897.13,USD,5000,False,
